IncidentSize,FireCause,InitialLatitude,InitialLongitude,Month
-4.605170185988091,0,36.605259,-119.790836,10
-4.605170185988091,0,35.715233,-120.561195,6
-4.605170185988091,0,38.188835,-120.659278,7
-4.605170185988091,0,37.056509,-120.969345,9
-4.605170185988091,0,35.620611,-121.063433,4
-4.605170185988091,0,40.129482,-123.801058,9
-4.605170185988091,0,37.65655,-121.481467,6
-4.605170185988091,0,33.924947,-116.475628,7
-4.605170185988091,0,33.572136,-116.066455,4
-4.605170185988091,0,33.75511,-117.135805,7
-4.605170185988091,0,34.010391,-117.339865,3
-4.605170185988091,0,39.520133,-121.482917,7
-4.605170185988091,0,36.797908,-119.692398,8
-4.605170185988091,0,37.411285,-120.813421,7
-4.605170185988091,0,39.507297,-121.556863,7
-4.605170185988091,0,32.866093,-116.928118,9
-4.605170185988091,0,39.124829,-122.861131,7
-4.605170185988091,0,37.286088,-120.48755,7
-4.605170185988091,0,40.4531,-122.300987,1
-4.605170185988091,0,36.633213,-119.446925,4
-4.605170185988091,0,36.569119,-119.223599,6
-4.605170185988091,0,33.948997,-117.300162,8
-4.605170185988091,0,38.433816,-122.347382,6
-4.605170185988091,0,33.939672,-117.261372,12
-4.605170185988091,0,33.925411,-116.881114,7
-4.605170185988091,0,36.423709,-119.7983,8
-4.605170185988091,0,41.592633,-122.839,8
-4.605170185988091,0,40.510183,-121.947417,11
-4.605170185988091,0,33.942457,-117.259734,12
-4.605170185988091,0,33.757637,-117.184737,7
-4.605170185988091,0,36.090018,-121.170458,5
-4.605170185988091,0,41.423212,-122.38067,5
-4.605170185988091,0,37.361201,-120.432263,5
-4.605170185988091,0,39.674633,-123.466867,6
-4.605170185988091,0,33.737445,-116.706877,5
-4.605170185988091,0,33.86386,-117.252571,9
-4.605170185988091,0,36.970375,-120.047655,9
-4.605170185988091,0,33.44343,-116.879392,12
-4.605170185988091,0,35.68587,-120.698777,5
-4.605170185988091,0,41.742883,-121.909467,9
-4.605170185988091,0,36.721235,-119.5565,3
-4.605170185988091,0,33.509034,-117.172633,5
-4.605170185988091,0,36.025589,-118.910699,8
-4.605170185988091,0,37.073767,-122.0325,11
-4.605170185988091,0,38.408147,-120.536952,7
-4.605170185988091,0,35.675633,-120.347045,5
-4.605170185988091,0,40.632217,-120.698267,9
-4.605170185988091,0,37.263181,-119.694616,6
-4.605170185988091,0,33.523694,-117.320282,7
-4.605170185988091,0,33.924411,-117.27003,5
-4.605170185988091,0,39.457387,-121.445678,6
-4.605170185988091,0,33.679118,-117.354368,8
-4.605170185988091,0,38.828153,-123.014365,7
-4.605170185988091,0,33.827789,-117.259325,5
-4.605170185988091,0,36.996457,-120.102095,11
-4.605170185988091,0,38.616279,-120.702925,6
